ROUTE,vols,annulations,distance,taux_annulation,origine,destination,rang,part_routes_cumulee,part_annulations_cumulee
GRR -> DFW,772,43,931.0,5.569948186528497,GRR,DFW,565,12.039207330066056,55.94189637424225
DFW -> LBB,718,43,282.0,5.988857938718663,DFW,LBB,566,12.060515661623695,55.991078577147434
JFK -> CMH,569,43,483.0,7.5571177504393665,JFK,CMH,567,12.081823993181334,56.040260780052606
SFO -> LAS,7995,42,414.0,0.525328330206379,SFO,LAS,568,12.103132324738972,56.08829921079721
HNL -> LAX,5244,42,2556.0,0.8009153318077803,HNL,LAX,569,12.124440656296612,56.1363376415418
SAN -> LAS,4095,42,258.0,1.0256410256410255,SAN,LAS,570,12.145748987854251,56.184376072286405
DFW -> SEA,3547,42,1660.0,1.1840992387933464,DFW,SEA,571,12.16705731941189,56.232414503030995
CLT -> PHL,3393,42,449.0,1.237842617152962,CLT,PHL,572,12.18836565096953,56.28045293377559
MCO -> DCA,3349,42,759.0,1.2541057031949836,MCO,DCA,573,12.209673982527168,56.32849136452018
SAN -> SJC,3022,42,417.0,1.3898080741230974,SAN,SJC,574,12.230982314084807,56.37652979526479
SJC -> SAN,3021,42,417.0,1.3902681231380336,SJC,SAN,575,12.252290645642447,56.42456822600938
MIA -> BOS,2319,42,1258.0,1.8111254851228977,MIA,BOS,576,12.273598977200086,56.472606656753975
DEN -> COS,2064,42,73.0,2.0348837209302326,DEN,COS,577,12.294907308757724,56.520645087498565
BWI -> ALB,1704,42,289.0,2.464788732394366,BWI,ALB,578,12.316215640315363,56.56868351824317
ORD -> MDT,1594,42,594.0,2.6348808030112925,ORD,MDT,579,12.337523971873003,56.61672194898776
BRO -> IAH,1303,42,308.0,3.2233307751343054,BRO,IAH,580,12.358832303430642,56.66476037973236
DFW -> LRD,1281,42,396.0,3.278688524590164,DFW,LRD,581,12.380140634988281,56.71279881047695
DFW -> CID,1027,42,685.0,4.089581304771178,DFW,CID,582,12.401448966545919,56.76083724122155
SPI -> ORD,998,42,174.0,4.208416833667335,SPI,ORD,583,12.422757298103559,56.80887567196614
MOB -> DFW,964,42,539.0,4.356846473029045,MOB,DFW,584,12.444065629661198,56.856914102710746
MLI -> DFW,940,42,691.0,4.468085106382979,MLI,DFW,585,12.465373961218837,56.90495253345533
ORF -> EWR,627,42,284.0,6.698564593301436,ORF,EWR,586,12.486682292776475,56.952990964199934
SDF -> LGA,301,42,659.0,13.953488372093023,SDF,LGA,587,12.507990624334115,57.001029394944524
DEN -> LAX,5688,41,862.0,0.7208157524613221,DEN,LAX,588,12.529298955891754,57.04792405352854
HOU -> ATL,4071,41,696.0,1.007123556865635,HOU,ATL,589,12.550607287449392,57.09481871211255
PHL -> CLT,3103,41,449.0,1.3213019658395102,PHL,CLT,590,12.571915619007031,57.14171337069656
DFW -> SLC,2982,41,989.0,1.374916163648558,DFW,SLC,591,12.593223950564672,57.188608029280566
DCA -> MIA,2973,41,919.0,1.3790783720147999,DCA,MIA,592,12.61453228212231,57.23550268786458
RDU -> BWI,1952,41,255.0,2.1004098360655736,RDU,BWI,593,12.63584061367995,57.28239734644859
CLE -> MDW,1823,41,307.0,2.249040043883708,CLE,MDW,594,12.657148945237587,57.32929200503259
IAD -> ORD,1745,41,588.8670487106017,2.349570200573066,IAD,ORD,595,12.678457276795227,57.376186663616615
DCA -> HOU,1262,41,1218.0,3.248811410459588,DCA,HOU,596,12.699765608352868,57.423081322200616
PWM -> JFK,1180,41,273.0,3.4745762711864407,PWM,JFK,597,12.721073939910504,57.469975980784625
DLH -> ORD,1101,41,397.0,3.7238873751135335,DLH,ORD,598,12.742382271468145,57.51687063936863
ORD -> LAN,876,41,179.0,4.680365296803653,ORD,LAN,599,12.763690603025783,57.56376529795265
JMS -> DVL,526,41,83.0,7.79467680608365,JMS,DVL,600,12.784998934583422,57.61065995653666
LGA -> DAY,403,41,549.0,10.173697270471465,LGA,DAY,601,12.806307266141062,57.65755461512067
CHO -> LGA,396,41,305.0,10.353535353535353,CHO,LGA,602,12.8276155976987,57.70444927370468
PIT -> LGA,301,41,335.0,13.621262458471762,PIT,LGA,603,12.84892392925634,57.75134393228869
MCO -> ATL,8202,40,404.0,0.487685930260912,MCO,ATL,604,12.87023226081398,57.79709481871211
IAH -> DEN,4513,40,862.0,0.8863283846665189,IAH,DEN,605,12.891540592371618,57.84284570513554
DCA -> MCO,3350,40,759.0,1.1940298507462688,DCA,MCO,606,12.912848923929257,57.88859659155896
SLC -> DFW,2990,40,989.0,1.3377926421404682,SLC,DFW,607,12.934157255486895,57.934347477982385
MIA -> DCA,2974,40,919.0,1.3449899125756557,MIA,DCA,608,12.955465587044534,57.980098364405805
DFW -> MSP,2574,40,852.0,1.554001554001554,DFW,MSP,609,12.976773918602175,58.02584925082923
FLL -> BOS,2184,40,1237.0,1.8315018315018317,FLL,BOS,610,12.998082250159811,58.07160013725265
MDW -> HOU,2077,40,937.0,1.9258545979778527,MDW,HOU,611,13.019390581717452,58.11735102367608
IAH -> JAN,1943,40,351.0,2.058672156459084,IAH,JAN,612,13.04069891327509,58.16310191009951
CMH -> MDW,1840,40,283.0,2.1739130434782608,CMH,MDW,613,13.06200724483273,58.20885279652293
DFW -> ABQ,1796,40,569.0,2.2271714922048997,DFW,ABQ,614,13.083315576390369,58.25460368294636
DAL -> LBB,1572,40,293.0,2.5445292620865136,DAL,LBB,615,13.104623907948007,58.30035456936978
ORD -> SPI,997,40,174.0,4.012036108324975,ORD,SPI,616,13.125932239505648,58.34610545579321
LGA -> HOU,927,40,1428.0,4.314994606256742,LGA,HOU,617,13.147240571063284,58.39185634221663
MCI -> LGA,708,40,1107.0,5.649717514124294,MCI,LGA,618,13.168548902620925,58.437607228640054
ORD -> PAH,666,40,342.0,6.006006006006006,ORD,PAH,619,13.189857234178564,58.483358115063474
ASE -> ORD,621,40,1013.0,6.44122383252818,ASE,ORD,620,13.211165565736202,58.5291090014869
BHM -> LGA,490,40,866.0,8.16326530612245,BHM,LGA,621,13.232473897293842,58.57485988791032
LGA -> SDF,297,40,659.0,13.468013468013467,LGA,SDF,622,13.253782228851483,58.62061077433375
IAH -> LAX,4432,39,1379.0,0.8799638989169676,IAH,LAX,623,13.275090560409119,58.66521788859659
MIA -> CLT,2982,39,650.0,1.30784708249497,MIA,CLT,624,13.29639889196676,58.709825002859425
FLL -> DFW,2709,39,1119.0,1.4396456256921373,FLL,DFW,625,13.317707223524398,58.75443211712227
DFW -> FLL,2696,39,1119.0,1.446587537091988,DFW,FLL,626,13.339015555082037,58.79903923138511
JFK -> PHX,2326,39,2153.0,1.6766981943250214,JFK,PHX,627,13.360323886639677,58.84364634564795
DCA -> IAH,2039,39,1208.0,1.9127023050514957,DCA,IAH,628,13.381632218197314,58.888253459910786
IAH -> DCA,2037,39,1208.0,1.914580265095729,IAH,DCA,629,13.402940549754955,58.93286057417363
PVD -> MCO,2023,39,1072.0,1.9278299555116163,PVD,MCO,630,13.424248881312591,58.977467688436455
MDW -> DAL,1991,39,793.0,1.9588146659969865,MDW,DAL,631,13.445557212870233,59.0220748026993
LGA -> TPA,1945,39,1010.0,2.005141388174807,LGA,TPA,632,13.466865544427872,59.06668191696214
MDW -> OMA,1693,39,423.0,2.303603071470762,MDW,OMA,633,13.48817387598551,59.11128903122498
RNO -> SFO,1613,39,192.0,2.417854928704278,RNO,SFO,634,13.509482207543149,59.155896145487816
LBB -> DAL,1572,39,293.0,2.480916030534351,LBB,DAL,635,13.530790539100787,59.20050325975066
MDW -> BOS,1385,39,861.0,2.815884476534296,MDW,BOS,636,13.552098870658428,59.2451103740135
EWR -> JAX,1020,39,820.0,3.823529411764706,EWR,JAX,637,13.573407202216067,59.28971748827634
DFW -> MLI,940,39,691.0,4.148936170212766,DFW,MLI,638,13.594715533773705,59.334324602539176
DFW -> MSN,939,39,821.0,4.15335463258786,DFW,MSN,639,13.616023865331345,59.37893171680201
GPT -> DFW,934,39,500.0,4.17558886509636,GPT,DFW,640,13.637332196888984,59.423538831064846
EWR -> RDU,913,39,416.0,4.271631982475356,EWR,RDU,641,13.658640528446622,59.46814594532769
CHO -> ORD,869,39,566.7928653624856,4.487917146144994,CHO,ORD,642,13.679948860004263,59.51275305959053
LEX -> DFW,776,39,785.0,5.025773195876289,LEX,DFW,643,13.7012571915619,59.55736017385337
EWR -> GSP,687,39,594.0,5.676855895196507,EWR,GSP,644,13.72256552311954,59.60196728811621
EWR -> ORF,679,39,284.0,5.743740795287187,EWR,ORF,645,13.74387385467718,59.64657440237905
DAY -> LGA,403,39,549.0,9.67741935483871,DAY,LGA,646,13.765182186234817,59.69118151664189
SLC -> DEN,6184,38,391.0,0.6144890038809833,SLC,DEN,647,13.786490517792457,59.73464485874413
ORD -> SLC,2600,38,1250.0,1.4615384615384615,ORD,SLC,648,13.807798849350094,59.77810820084639
TPA -> DFW,2500,38,929.0,1.52,TPA,DFW,649,13.829107180907735,59.82157154294865
DEN -> BOS,2407,38,1754.0,1.578728707935189,DEN,BOS,650,13.850415512465375,59.865034885050896
DAL -> MDW,1980,38,793.0,1.9191919191919191,DAL,MDW,651,13.871723844023013,59.90849822715315
ORD -> IAD,1940,38,588.8561855670104,1.958762886597938,ORD,IAD,652,13.893032175580652,59.95196156925541
BUF -> BWI,1808,38,281.0,2.101769911504425,BUF,BWI,653,13.91434050713829,59.99542491135765
ALB -> BWI,1701,38,289.0,2.2339800117577897,ALB,BWI,654,13.93564883869593,60.03888825345991
EWR -> CLE,1593,38,404.0,2.3854362837413685,EWR,CLE,655,13.95695717025357,60.082351595562166
CLE -> DFW,1569,38,1021.0,2.421924792861695,CLE,DFW,656,13.978265501811208,60.125814937664416
CAK -> ORD,1237,38,343.0,3.0719482619240095,CAK,ORD,657,13.999573833368848,60.16927827976667
PNS -> DFW,1156,38,604.0,3.2871972318339098,PNS,DFW,658,14.020882164926487,60.21274162186893
MGM -> DFW,969,38,622.0,3.9215686274509802,MGM,DFW,659,14.042190496484125,60.25620496397117
JFK -> IAD,951,38,228.0,3.995793901156677,JFK,IAD,660,14.063498828041766,60.29966830607343
IAD -> JFK,950,38,228.0,4.0,IAD,JFK,661,14.084807159599402,60.343131648175685
OMA -> EWR,619,38,1134.0,6.138933764135703,OMA,EWR,662,14.106115491157043,60.38659499027794
BTV -> EWR,542,38,266.0,7.011070110701106,BTV,EWR,663,14.127423822714682,60.430058332380185
GRR -> EWR,488,38,605.0,7.786885245901639,GRR,EWR,664,14.14873215427232,60.47352167448244
ATL -> MCO,8202,37,404.0,0.45110948549134355,ATL,MCO,665,14.17004048582996,60.51584124442411
ATL -> CLT,6306,37,226.0,0.5867427846495401,ATL,CLT,666,14.191348817387597,60.55816081436578
DEN -> SLC,5859,37,391.0,0.6315070831199863,DEN,SLC,667,14.212657148945237,60.600480384307446
SFO -> DEN,5066,37,967.0,0.7303592577970786,SFO,DEN,668,14.233965480502878,60.642799954249114
CLT -> BWI,3378,37,361.0,1.0953226761397277,CLT,BWI,669,14.255273812060516,60.68511952419078
BOS -> MCO,2852,37,1121.0,1.2973352033660588,BOS,MCO,670,14.276582143618155,60.72743909413245
MDW -> LAS,2748,37,1521.0,1.346433770014556,MDW,LAS,671,14.297890475175793,60.76975866407411
MIA -> PHL,2663,37,1013.0,1.3894104393541118,MIA,PHL,672,14.319198806733432,60.812078234015786
TUL -> IAH,1800,37,429.0,2.055555555555556,TUL,IAH,673,14.340507138291073,60.85439780395745
RSW -> BOS,1634,37,1249.0,2.2643818849449207,RSW,BOS,674,14.36181546984871,60.89671737389912
SFO -> BUR,1581,37,326.0,2.340290955091714,SFO,BUR,675,14.38312380140635,60.93903694384078
BOS -> MDW,1391,37,861.0,2.659956865564342,BOS,MDW,676,14.40443213296399,60.98135651378246
HOU -> DCA,1253,37,1218.0,2.9529130087789306,HOU,DCA,677,14.425740464521628,61.02367608372412
JFK -> PWM,1180,37,273.0,3.1355932203389827,JFK,PWM,678,14.447048796079267,61.065995653665794
SAF -> DFW,974,37,551.0,3.798767967145791,SAF,DFW,679,14.468357127636905,61.108315223607455
JAX -> EWR,913,37,820.0,4.052573932092004,JAX,EWR,680,14.489665459194544,61.15063479354913
DSM -> DFW,859,37,624.0,4.307334109429569,DSM,DFW,681,14.510973790752185,61.19295436349079
DFW -> GRR,770,37,931.0,4.805194805194805,DFW,GRR,682,14.532282122309823,61.23527393343245
ROC -> EWR,725,37,246.0,5.103448275862069,ROC,EWR,683,14.553590453867463,61.27759350337413
SAV -> EWR,660,37,708.0,5.606060606060606,SAV,EWR,684,14.5748987854251,61.31991307331579
ATL -> RDU,4717,36,356.0,0.7631969472122111,ATL,RDU,685,14.59620711698274,61.36108887109688
RDU -> ATL,4712,36,356.0,0.7640067911714771,RDU,ATL,686,14.61751544854038,61.40226466887796
SAN -> ORD,2680,36,1723.0,1.3432835820895521,SAN,ORD,687,14.638823780098017,61.44344046665904
BOS -> DEN,2398,36,1754.0,1.5012510425354462,BOS,DEN,688,14.660132111655658,61.48461626444013
ORD -> PDX,2149,36,1739.0,1.675197766402978,ORD,PDX,689,14.681440443213297,61.52579206222121
LGA -> MSP,2144,36,1020.0,1.6791044776119404,LGA,MSP,690,14.702748774770935,61.566967860002286
BOS -> IAD,2020,36,413.0,1.782178217821782,BOS,IAD,691,14.724057106328575,61.608143657783366
BWI -> RDU,1952,36,255.0,1.8442622950819672,BWI,RDU,692,14.745365437886212,61.64931945556445
BWI -> BUF,1803,36,281.0,1.9966722129783694,BWI,BUF,693,14.766673769443853,61.69049525334553
LAS -> EWR,1728,36,2227.0,2.083333333333333,LAS,EWR,694,14.787982101001493,61.73167105112661
MEM -> IAH,1691,36,468.0,2.1289178001182734,MEM,IAH,695,14.80929043255913,61.77284684890769
BOS -> RSW,1634,36,1249.0,2.203182374541004,BOS,RSW,696,14.83059876411677,61.814022646688784
RDU -> DFW,1611,36,1061.0,2.2346368715083798,RDU,DFW,697,14.851907095674408,61.85519844446986
SFO -> RNO,1606,36,192.0,2.2415940224159403,SFO,RNO,698,14.873215427232047,61.89637424225094
MAF -> DAL,1522,36,319.0,2.3653088042049935,MAF,DAL,699,14.894523758789688,61.93755004003203
DAL -> MAF,1516,36,319.0,2.3746701846965697,DAL,MAF,700,14.915832090347326,61.97872583781311
CMH -> DFW,1511,36,926.0,2.382528127068167,CMH,DFW,701,14.937140421904965,62.01990163559419
OMA -> DFW,1363,36,583.0,2.641232575201761,OMA,DFW,702,14.958448753462603,62.06107743337527
SYR -> JFK,1015,36,209.0,3.5467980295566504,SYR,JFK,703,14.979757085020243,62.102253231156354
DFW -> MOB,964,36,539.0,3.7344398340248963,DFW,MOB,704,15.001065416577882,62.14342902893743
RDU -> EWR,860,36,416.0,4.186046511627907,RDU,EWR,705,15.02237374813552,62.18460482671851
DFW -> LEX,776,36,785.0,4.639175257731959,DFW,LEX,706,15.043682079693161,62.225780624499606
EWR -> GRR,364,36,605.0,9.89010989010989,EWR,GRR,707,15.0649904112508,62.266956422280686
SFO -> PHX,4856,35,651.0,0.7207578253706755,SFO,PHX,708,15.086298742808438,62.306988447901176
SNA -> PHX,3846,35,338.0,0.9100364014560581,SNA,PHX,709,15.107607074366078,62.347020473521674
IAD -> SFO,3620,35,2419.0,0.9668508287292817,IAD,SFO,710,15.128915405923715,62.38705249914217
MIA -> IAH,2884,35,964.0,1.2135922330097086,MIA,IAH,711,15.150223737481355,62.42708452476266
PHL -> TPA,2425,35,920.0,1.443298969072165,PHL,TPA,712,15.171532069038996,62.46711655038316
SNA -> ORD,2167,35,1726.0,1.6151361329026301,SNA,ORD,713,15.192840400596634,62.50714857600366
EWR -> PHX,2103,35,2133.0,1.6642891107941038,EWR,PHX,714,15.214148732154273,62.547180601624156
IAD -> BOS,2019,35,413.0,1.733531451213472,IAD,BOS,715,15.23545706371191,62.58721262724465
BOS -> IAH,1678,35,1597.0,2.0858164481525625,BOS,IAH,716,15.25676539526955,62.627244652865144
DFW -> RDU,1611,35,1061.0,2.1725636250775917,DFW,RDU,717,15.278073726827191,62.66727667848565
IAH -> BRO,1303,35,308.0,2.686108979278588,IAH,BRO,718,15.299382058384827,62.70730870410615
ORD -> CAK,1239,35,343.0,2.824858757062147,ORD,CAK,719,15.320690389942468,62.747340729726645
RSW -> JFK,1229,35,1074.0,2.8478437754271764,RSW,JFK,720,15.341998721500104,62.787372755347135
MHK -> DFW,985,35,431.0,3.5532994923857872,MHK,DFW,721,15.363307053057746,62.82740478096763
DFW -> DSM,857,35,624.0,4.084014002333722,DFW,DSM,722,15.384615384615385,62.86743680658813
ICT -> DFW,805,35,328.0,4.3478260869565215,ICT,DFW,723,15.405923716173023,62.90746883220862
EWR -> SAV,662,35,708.0,5.287009063444108,EWR,SAV,724,15.427232047730662,62.94750085782912
ALO -> ORD,617,35,234.0,5.6726094003241485,ALO,ORD,725,15.448540379288303,62.98753288344962
LGA -> CHO,395,35,305.0,8.860759493670885,LGA,CHO,726,15.469848710845941,63.02756490907011
CLT -> ATL,6307,34,226.0,0.5390835579514826,CLT,ATL,727,15.49115704240358,63.066453162530024
DFW -> TPA,2500,34,929.0,1.3599999999999999,DFW,TPA,728,15.512465373961218,63.10534141598993
ORD -> SNA,2164,34,1726.0,1.5711645101663587,ORD,SNA,729,15.533773705518858,63.14422966944985
MSP -> LGA,2146,34,1020.0,1.5843429636533086,MSP,LGA,730,15.555082037076499,63.18311792290976
AUS -> IAH,2079,34,140.0,1.6354016354016354,AUS,IAH,731,15.576390368634135,63.222006176369675
IAH -> AUS,2035,34,140.0,1.6707616707616706,IAH,AUS,732,15.597698700191776,63.26089442982957
MCO -> PVD,2032,34,1072.0,1.673228346456693,MCO,PVD,733,15.619007031749414,63.299782683289486
TPA -> LGA,1947,34,1010.0,1.7462763225475089,TPA,LGA,734,15.640315363307053,63.338670936749395
CLE -> BOS,1819,34,563.0,1.8691588785046727,CLE,BOS,735,15.661623694864693,63.37755919020931
ORD -> JFK,1577,34,740.0,2.155992390615092,ORD,JFK,736,15.68293202642233,63.41644744366922
DFW -> CLE,1568,34,1021.0,2.1683673469387754,DFW,CLE,737,15.70424035797997,63.45533569712914
SBA -> LAX,1460,34,89.0,2.328767123287671,SBA,LAX,738,15.725548689537607,63.494223950589046
DFW -> OMA,1362,34,583.0,2.4963289280469896,DFW,OMA,739,15.746857021095249,63.53311220404896
DFW -> PNS,1155,34,604.0,2.943722943722944,DFW,PNS,740,15.768165352652888,63.57200045750886
MLU -> DFW,959,34,293.0,3.5453597497393115,MLU,DFW,741,15.789473684210526,63.61088871096877
DFW -> MLU,958,34,293.0,3.549060542797495,DFW,MLU,742,15.810782015768165,63.64977696442868
LAN -> ORD,877,34,179.0,3.8768529076396807,LAN,ORD,743,15.832090347325806,63.6886652178886
ORD -> CHO,869,34,566.7928653624856,3.9125431530494823,ORD,CHO,744,15.853398678883442,63.72755347134851
GSP -> EWR,694,34,594.0,4.899135446685879,GSP,EWR,745,15.874707010441083,63.76644172480842
HSV -> ORD,592,34,510.0,5.743243243243244,HSV,ORD,746,15.896015341998721,63.80532997826833
MSP -> DEN,5508,33,680.0,0.5991285403050108,MSP,DEN,747,15.91732367355636,63.84307445956765
DEN -> MSP,5504,33,680.0,0.5995639534883721,DEN,MSP,748,15.938632005114,63.88081894086698
PHX -> SFO,4863,33,651.0,0.6785934608266502,PHX,SFO,749,15.959940336671638,63.91856342216631
SAT -> DAL,3059,33,248.0,1.0787839163125206,SAT,DAL,750,15.981248668229279,63.95630790346563
ORD -> FLL,2531,33,1182.0,1.3038324772817067,ORD,FLL,751,16.002556999786915,63.994052384764956
IAH -> PHL,2178,33,1325.0,1.5151515151515151,IAH,PHL,752,16.023865331344556,64.03179686606428
SMF -> BUR,2092,33,358.0,1.577437858508604,SMF,BUR,753,16.045173662902197,64.0695413473636
RDU -> ORD,1950,33,646.0,1.6923076923076923,RDU,ORD,754,16.06648199445983,64.10728582866292
BOS -> CLE,1831,33,563.0,1.8022938285090113,BOS,CLE,755,16.087790326017473,64.14503030996227
OMA -> MDW,1677,33,423.0,1.9677996422182469,OMA,MDW,756,16.10909865757511,64.18277479126158
BOS -> PBI,1606,33,1197.0,2.054794520547945,BOS,PBI,757,16.13040698913275,64.2205192725609
PBI -> BOS,1606,33,1197.0,2.054794520547945,PBI,BOS,758,16.15171532069039,64.25826375386023
IND -> DFW,1593,33,761.0,2.0715630885122414,IND,DFW,759,16.173023652248027,64.29600823515955
JFK -> ORD,1574,33,740.0,2.096569250317662,JFK,ORD,760,16.194331983805668,64.33375271645887
ONT -> DFW,1441,33,1188.0,2.2900763358778624,ONT,DFW,761,16.21564031536331,64.3714971977582
HPN -> MCO,1245,33,972.0,2.6506024096385543,HPN,MCO,762,16.236948646920947,64.40924167905753
MAF -> DEN,1088,33,563.0,3.0330882352941178,MAF,DEN,763,16.258256978478585,64.44698616035686
LBB -> IAH,1067,33,458.0,3.0927835051546393,LBB,IAH,764,16.279565310036222,64.48473064165618
JFK -> SYR,1016,33,209.0,3.2480314960629917,JFK,SYR,765,16.300873641593864,64.5224751229555
DFW -> MKE,1011,33,853.0,3.2640949554896146,DFW,MKE,766,16.322181973151505,64.56021960425483
MKE -> DFW,1010,33,853.0,3.2673267326732676,MKE,DFW,767,16.343490304709142,64.59796408555417
DFW -> GPT,933,33,500.0,3.536977491961415,DFW,GPT,768,16.36479863626678,64.63570856685348
LCH -> DFW,782,33,295.0,4.219948849104859,LCH,DFW,769,16.386106967824418,64.67345304815281
EAU -> ORD,668,33,268.18263473053895,4.940119760479042,EAU,ORD,770,16.40741529938206,64.71119752945214
JLN -> DFW,666,33,327.0,4.954954954954955,JLN,DFW,771,16.428723630939697,64.74894201075145
COU -> DFW,660,33,489.0,5.0,COU,DFW,772,16.450031962497334,64.78668649205078
MHK -> ORD,649,33,501.0,5.084745762711865,MHK,ORD,773,16.471340294054976,64.8244309733501
LGA -> IAD,205,33,229.0,16.097560975609756,LGA,IAD,774,16.492648625612617,64.86217545464943
PHX -> SAN,5105,32,304.0,0.6268364348677766,PHX,SAN,775,16.513956957170254,64.89877616378817
IAD -> LAX,3606,32,2288.0,0.8874098724348309,IAD,LAX,776,16.535265288727892,64.93537687292691
IAH -> SFO,3439,32,1635.0,0.9305030532131433,IAH,SFO,777,16.55657362028553,64.97197758206565
SFO -> IAH,3426,32,1635.0,0.9340338587273789,SFO,IAH,778,16.57788195184317,65.00857829120439
IAD -> DEN,3100,32,1452.0,1.032258064516129,IAD,DEN,779,16.599190283400812,65.04517900034314
LAS -> MDW,2722,32,1521.0,1.1756061719324025,LAS,MDW,780,16.62049861495845,65.08177970948186
SNA -> SJC,2705,32,342.0,1.1829944547134934,SNA,SJC,781,16.641806946516088,65.11838041862062
PHL -> MIA,2661,32,1013.0,1.2025554302893648,PHL,MIA,782,16.663115278073725,65.15498112775934
TPA -> PHL,2382,32,920.0,1.343408900083963,TPA,PHL,783,16.684423609631367,65.1915818368981
PHX -> JFK,2327,32,2153.0,1.3751611516974647,PHX,JFK,784,16.705731941189008,65.22818254603683
IAH -> SAT,2312,32,191.0,1.384083044982699,IAH,SAT,785,16.727040272746642,65.26478325517557
LAS -> PHL,2147,32,2176.0,1.4904517931998138,LAS,PHL,786,16.748348604304283,65.30138396431431
OKC -> DEN,1754,32,495.0,1.8244013683010263,OKC,DEN,787,16.76965693586192,65.33798467345305
IAH -> BOS,1675,32,1597.0,1.9104477611940298,IAH,BOS,788,16.790965267419562,65.37458538259179
RDU -> BOS,1526,32,612.0,2.0969855832241153,RDU,BOS,789,16.8122735989772,65.41118609173053
MOB -> IAH,1513,32,427.0,2.1150033046926633,MOB,IAH,790,16.833581930534837,65.44778680086927
IAH -> LBB,1067,32,458.0,2.999062792877226,IAH,LBB,791,16.85489026209248,65.484387510008
DCA -> BNA,986,32,562.0,3.2454361054766734,DCA,BNA,792,16.87619859365012,65.52098821914674
DFW -> MHK,985,32,431.0,3.248730964467005,DFW,MHK,793,16.897506925207757,65.55758892828548
GSP -> ORD,829,32,577.7840772014475,3.8600723763570564,GSP,ORD,794,16.918815256765395,65.59418963742422
MHT -> EWR,700,32,209.0,4.571428571428571,MHT,EWR,795,16.940123588323033,65.63079034656296
MCI -> EWR,633,32,1092.0,5.055292259083728,MCI,EWR,796,16.961431919880674,65.66739105570171
ORD -> ALO,618,32,234.0,5.177993527508091,ORD,ALO,797,16.982740251438315,65.70399176484044
JFK -> BWI,333,32,184.0,9.60960960960961,JFK,BWI,798,17.00404858299595,65.74059247397919
SAN -> DEN,4189,31,853.0,0.7400334208641681,SAN,DEN,799,17.02535691455359,65.77604941095734
DEN -> IAD,3171,31,1452.0,0.9776095868811101,DEN,IAD,800,17.04666524611123,65.81150634793549
DAL -> SAT,3031,31,248.0,1.022764764104256,DAL,SAT,801,17.06797357766887,65.84696328491364
SJC -> SNA,2710,31,342.0,1.1439114391143912,SJC,SNA,802,17.089281909226507,65.8824202218918
TPA -> ORD,2427,31,1012.0,1.277297074577668,TPA,ORD,803,17.110590240784145,65.91787715886996
MDW -> PHX,2259,31,1444.0,1.3722886232846392,MDW,PHX,804,17.131898572341786,65.9533340958481
BNA -> DEN,2008,31,1014.0,1.543824701195219,BNA,DEN,805,17.153206903899424,65.98879103282627
FLL -> PHL,1915,31,992.0,1.618798955613577,FLL,PHL,806,17.174515235457065,66.02424796980442
LIT -> IAH,1784,31,374.0,1.7376681614349778,LIT,IAH,807,17.195823567014703,66.05970490678257
BWI -> DFW,1773,31,1217.0,1.7484489565707841,BWI,DFW,808,17.21713189857234,66.09516184376072
DFW -> IND,1594,31,761.0,1.944792973651192,DFW,IND,809,17.23844023012998,66.13061878073889
AUS -> JFK,1589,31,1521.0,1.9509125235997484,AUS,JFK,810,17.259748561687623,66.16607571771704
DFW -> CMH,1511,31,926.0,2.0516214427531434,DFW,CMH,811,17.281056893245257,66.20153265469519
MFR -> SFO,1298,31,329.0,2.3882896764252695,MFR,SFO,812,17.302365224802898,66.23698959167334
SFO -> MFR,1296,31,329.0,2.391975308641975,SFO,MFR,813,17.323673556360536,66.2724465286515
JFK -> RSW,1230,31,1074.0,2.5203252032520327,JFK,RSW,814,17.344981887918177,66.30790346562965
JFK -> ROC,1102,31,264.0,2.813067150635209,JFK,ROC,815,17.366290219475815,66.3433604026078
ROC -> JFK,1102,31,264.0,2.813067150635209,ROC,JFK,816,17.387598551033452,66.37881733958595
SBP -> SFO,1043,31,190.0,2.972195589645254,SBP,SFO,817,17.408906882591094,66.41427427656411
BNA -> DCA,992,31,562.0,3.125,BNA,DCA,818,17.43021521414873,66.44973121354226
RDU -> PHL,855,31,337.0,3.625730994152047,RDU,PHL,819,17.451523545706372,66.48518815052041
ORF -> ORD,831,31,717.0,3.730445246690734,ORF,ORD,820,17.47283187726401,66.52064508749858
DFW -> ICT,805,31,328.0,3.8509316770186333,DFW,ICT,821,17.494140208821648,66.55610202447673
MYR -> LGA,668,31,563.0,4.640718562874251,MYR,LGA,822,17.51544854037929,66.59155896145488
EWR -> MCI,659,31,1092.0,4.704097116843703,EWR,MCI,823,17.536756871936927,66.62701589843303
COU -> ORD,648,31,315.0,4.78395061728395,COU,ORD,824,17.558065203494564,66.6624728354112
LGA -> XNA,514,31,1147.0,6.031128404669261,LGA,XNA,825,17.579373535052206,66.69792977238934
PVD -> EWR,357,31,160.0,8.683473389355742,PVD,EWR,826,17.600681866609843,66.7333867093675
JFK -> CVG,334,31,589.0,9.281437125748502,JFK,CVG,827,17.621990198167484,66.76884364634564
IAD -> LGA,205,31,229.0,15.121951219512194,IAD,LGA,828,17.643298529725122,66.80430058332381
ANC -> SEA,6383,30,1448.0,0.4699984333385555,ANC,SEA,829,17.66460686128276,66.83861374814137
