ROUTE,vols,annulations,distance,taux_annulation,origine,destination,rang,part_routes_cumulee,part_annulations_cumulee
SJC -> LAX,6339,141,308.0,2.224325603407477,SJC,LAX,59,1.2571915619007032,14.019215372297838
LAX -> SJC,6341,140,308.0,2.2078536508437154,LAX,SJC,60,1.2784998934583423,14.179343474779824
ORD -> CID,2843,140,196.0,4.924375659514597,ORD,CID,61,1.2998082250159813,14.339471577261808
AUS -> DFW,4674,136,190.0,2.909713307659392,AUS,DFW,62,1.3211165565736203,14.495024591101451
LGA -> MIA,6308,135,1096.0,2.140139505389981,LGA,MIA,63,1.3424248881312595,14.64943383278051
EWR -> DCA,1515,135,199.0,8.91089108910891,EWR,DCA,64,1.3637332196888983,14.80384307445957
PHL -> ORD,4759,134,678.0,2.8157175877285145,PHL,ORD,65,1.3850415512465373,14.95710854397804
SAT -> DFW,4715,134,247.0,2.8419936373276777,SAT,DFW,66,1.4063498828041765,15.11037401349651
LGA -> GSO,1295,134,461.0,10.347490347490346,LGA,GSO,67,1.4276582143618155,15.263639483014984
MIA -> LGA,6318,133,1096.0,2.105096549540994,MIA,LGA,68,1.4489665459194545,15.41576118037287
CMH -> ORD,3264,133,296.0,4.074754901960785,CMH,ORD,69,1.4702748774770935,15.567882877730757
ORD -> BNA,3577,132,409.0,3.6902432205759013,ORD,BNA,70,1.4915832090347325,15.718860802928056
GRB -> ORD,2767,132,173.0,4.770509577159379,GRB,ORD,71,1.5128915405923715,15.869838728125357
ORD -> DAY,2643,132,240.0,4.994324631101021,ORD,DAY,72,1.5341998721500107,16.020816653322658
DCA -> EWR,1516,132,199.0,8.70712401055409,DCA,EWR,73,1.5555082037076498,16.17179457851996
BUR -> OAK,3759,131,325.0,3.4849694067571164,BUR,OAK,74,1.5768165352652888,16.32162873155667
ORD -> GRB,2767,130,173.0,4.6982291290206,ORD,GRB,75,1.5981248668229278,16.470319112432804
EWR -> CLT,4145,129,529.0,3.1121833534378767,EWR,CLT,76,1.6194331983805668,16.61786572114835
GSO -> LGA,1295,129,461.0,9.961389961389962,GSO,LGA,77,1.640741529938206,16.765412329863892
DFW -> AUS,4672,128,190.0,2.73972602739726,DFW,AUS,78,1.662049861495845,16.91181516641885
MSP -> ORD,6296,126,334.0,2.001270648030496,MSP,ORD,79,1.683358193053484,17.055930458652636
FLL -> LGA,5307,126,1076.0,2.3742227247032224,FLL,LGA,80,1.704666524611123,17.20004575088642
GRR -> ORD,2820,126,137.0,4.468085106382979,GRR,ORD,81,1.7259748561687618,17.34416104312021
CMH -> LGA,1439,126,479.0,8.756080611535788,CMH,LGA,82,1.747283187726401,17.488276335353998
LGA -> FLL,5304,125,1076.0,2.356711915535445,LGA,FLL,83,1.76859151928404,17.631247855427198
GRK -> DFW,2626,125,134.0,4.76009139375476,GRK,DFW,84,1.789899850841679,17.7742193755004
BOS -> EWR,4463,124,200.0,2.7784001792516246,BOS,EWR,85,1.811208182399318,17.916047123413016
XNA -> ORD,2598,123,522.0,4.734411085450346,XNA,ORD,86,1.8325165139569572,18.056731099165045
MEM -> ORD,2231,123,491.0,5.513222770058269,MEM,ORD,87,1.8538248455145963,18.197415074917075
LGA -> CMH,1439,123,479.0,8.547602501737316,LGA,CMH,88,1.8751331770722353,18.338099050669108
HPN -> ORD,1799,122,738.0,6.781545302946081,HPN,ORD,89,1.8964415086298745,18.47763925426055
FWA -> ORD,2265,121,157.0,5.342163355408388,FWA,ORD,90,1.917749840187513,18.616035685691408
ORD -> PHL,4744,120,678.0,2.5295109612141653,ORD,PHL,91,1.9390581717451523,18.753288344961682
DFW -> SAT,4714,120,247.0,2.545608824777259,DFW,SAT,92,1.9603665033027913,18.890541004231956
ORD -> GRR,2990,120,137.0,4.013377926421405,ORD,GRR,93,1.9816748348604303,19.02779366350223
ORD -> MSP,6361,118,334.0,1.8550542367552274,ORD,MSP,94,2.0029831664180695,19.162758778451334
EWR -> BOS,4442,118,200.0,2.656461053579469,EWR,BOS,95,2.0242914979757085,19.297723893400434
ORD -> CLE,3937,118,315.18948437896876,2.997205994411989,ORD,CLE,96,2.0455998295333475,19.432689008349538
DFW -> GRK,2625,118,134.0,4.495238095238095,DFW,GRK,97,2.0669081610909865,19.567654123298638
STL -> LGA,1636,118,888.0,7.212713936430318,STL,LGA,98,2.088216492648626,19.70261923824774
SFO -> JFK,8440,116,2586.0,1.3744075829383886,SFO,JFK,99,2.109524824206265,19.835296808875672
BOS -> BWI,4431,116,369.0,2.6179192055969307,BOS,BWI,100,2.1308331557639035,19.9679743795036
ORD -> CMH,3442,115,296.0,3.3410807669959324,ORD,CMH,101,2.1521414873215425,20.099508177970947
JFK -> SFO,8437,114,2586.0,1.3511911816996562,JFK,SFO,102,2.1734498188791815,20.229898204277706
CLT -> EWR,4120,114,529.0,2.766990291262136,CLT,EWR,103,2.1947581504368205,20.360288230584466
LGA -> STL,1636,114,888.0,6.968215158924205,LGA,STL,104,2.21606648199446,20.490678256891226
DCA -> JFK,996,114,213.0,11.44578313253012,DCA,JFK,105,2.237374813552099,20.62106828319799
ORD -> EWR,3874,113,719.0,2.9168817759421786,ORD,EWR,106,2.258683145109738,20.75031453734416
CLT -> LGA,3610,113,544.0,3.1301939058171744,CLT,LGA,107,2.279991476667377,20.879560791490334
BWI -> BOS,4412,112,369.0,2.5385312783318223,BWI,BOS,108,2.301299808225016,21.007663273475924
RDU -> JFK,1597,112,427.0,7.013149655604257,RDU,JFK,109,2.322608139782655,21.13576575546151
OAK -> BUR,3734,110,325.0,2.945902517407606,OAK,BUR,110,2.343916471340294,21.26158069312593
MDW -> EWR,1804,110,711.0,6.097560975609756,MDW,EWR,111,2.365224802897933,21.387395630790344
ORD -> FWA,2261,109,157.0,4.820875718708536,ORD,FWA,112,2.386533134455572,21.512066796294178
ORD -> HPN,1800,109,738.0,6.055555555555555,ORD,HPN,113,2.407841466013211,21.636737961798012
SFO -> ORD,7380,108,1846.0,1.4634146341463417,SFO,ORD,114,2.42914979757085,21.760265355141257
EWR -> MDW,1822,108,711.0,5.92755214050494,EWR,MDW,115,2.4504581291284895,21.883792748484503
CMI -> ORD,1784,108,135.0,6.053811659192825,CMI,ORD,116,2.4717664606861285,22.007320141827748
LAX -> ORD,8256,107,1744.0,1.2960271317829457,LAX,ORD,117,2.4930747922437675,22.129703763010408
RIC -> ORD,2088,107,642.0,5.124521072796935,RIC,ORD,118,2.5143831238014065,22.25208738419307
ORD -> LAX,7941,106,1744.0,1.3348444780254376,ORD,LAX,119,2.535691455359045,22.373327233215143
DFW -> IAH,4006,106,224.0,2.6460309535696456,DFW,IAH,120,2.5569997869166845,22.494567082237218
PIA -> ORD,2180,106,130.0,4.862385321100918,PIA,ORD,121,2.5783081184743235,22.615806931259293
CVG -> EWR,1479,106,569.0,7.167004732927654,CVG,EWR,122,2.5996164500319625,22.737046780281368
JFK -> DCA,1002,106,213.0,10.578842315369261,JFK,DCA,123,2.6209247815896015,22.858286629303443
JFK -> FLL,4439,105,1069.0,2.3653976120747915,JFK,FLL,124,2.6422331131472405,22.978382706164933
