fenetre,dates,vols,taux_retard,retard_moyen,ecart_vs_hors_vacances,part_du_volume_vacances_pct
Nouvel an,1 -> 5 janvier,76931,36.17137434844211,18.556057,19.284844521835137,3.9232175167115773
Noël / fin d'année,18 -> 31 décembre,209038,28.817248538543232,14.32131,11.930718711936262,10.660222059486484
Vacances d'été,juin -> août,1511187,21.008783161845624,6.8571463,4.1222533352386534,77.06536129033574
Hors vacances,reste de l'année,3753092,16.88652982660697,2.7407784,0.0,
Thanksgiving,20 -> 30 novembre,163760,14.731314118221789,0.68333536,-2.1552157083851817,8.351199133466196
