aeroport,vols,annulations,taux_annulation
ORD,285884,8548,2.990023925788082
DFW,239551,6254,2.610717550751197
LGA,99605,4531,4.548968425279855
EWR,101772,3110,3.0558503321149235
BOS,107847,2654,2.4608936734447875
ATL,346836,2557,0.7372360423946764
LAX,194673,2164,1.111607670298398
SFO,148008,2148,1.4512729041673424
IAH,146622,2130,1.4527151450669067
DEN,196055,2123,1.082859401698503
