MONTH,vols,taux_annulation,taux_retard
1,469968,2.5495352875089368,20.995245211842988
2,429191,4.780389150751064,23.347470827619873
3,504312,2.1815860023160263,19.395372842576673
4,485151,0.9316686969623891,17.16157086787508
5,496993,1.1456901807470126,18.308311599723062
6,503897,1.8098936885911208,23.484367359444207
7,520718,0.9229563794606677,20.923473513950665
8,510536,0.9895482394973126,18.674844629293034
9,464946,0.44628838617817984,12.995912609027746
10,486165,0.5047669001265003,12.44185902029084
11,467972,0.9827511047669518,15.262983733700718
12,479230,1.6824906621037916,20.602192383924788
