DATE,vols,taux_annulation,taux_retard,jour_annee,fenetre
2015-01-01,13950,3.3405017921146953,22.18508615567439,1,Nouvel an
2015-01-02,16741,1.5351532166537243,27.758872143898884,2,Nouvel an
2015-01-03,15434,2.144615783335493,45.21594684385382,3,Nouvel an
2015-01-04,16352,2.647994129158513,49.30446276830113,4,Nouvel an
2015-01-05,16548,2.6287164612037706,35.05039193729003,5,Nouvel an
2015-01-06,15315,2.5791707476330394,37.07313794030653,6,Hors vacances
2015-01-07,15571,1.9459251172050607,28.587370355783115,7,Hors vacances
2015-01-08,16009,5.078393403710413,25.057897174617878,8,Hors vacances
2015-01-09,16008,2.929785107446277,27.53482972136223,9,Hors vacances
2015-01-10,12344,1.5392093324692158,16.49365628604383,10,Hors vacances
2015-01-11,14754,2.3993493289955268,25.65032429039682,11,Hors vacances
2015-01-12,15888,2.7442094662638468,35.32696928371972,12,Hors vacances
2015-01-13,15180,1.2977602108036892,18.292438323193153,13,Hors vacances
2015-01-14,15520,1.1469072164948453,12.473890339425587,14,Hors vacances
2015-01-15,16020,0.6491885143570537,16.665618514558833,15,Hors vacances
2015-01-16,16070,0.3609209707529558,14.45813269964355,16,Hors vacances
2015-01-17,12070,0.2651201325600663,8.388759561024276,17,Hors vacances
2015-01-18,13855,0.8228076506676291,13.369335182076917,18,Hors vacances
2015-01-19,15841,0.41032763083138685,11.140718182971703,19,Hors vacances
2015-01-20,15187,0.6057812602884046,11.779948176200918,20,Hors vacances
2015-01-21,15525,0.7665056360708535,17.4229619035236,21,Hors vacances
2015-01-22,16013,0.6494723037532005,15.309077174870955,22,Hors vacances
2015-01-23,16056,0.6851021425012457,14.744113029827316,23,Hors vacances
2015-01-24,12280,1.6938110749185669,14.513318396813544,24,Hors vacances
2015-01-25,14720,1.1073369565217392,14.847672099580498,25,Hors vacances
2015-01-26,15890,10.088105726872246,18.05155580529606,26,Hors vacances
2015-01-27,15155,19.03002309468822,7.132364942059735,27,Hors vacances
2015-01-28,15525,4.77938808373591,9.687690535871553,28,Hors vacances
2015-01-29,16030,0.5177791640673737,13.391959798994977,29,Hors vacances
2015-01-30,16080,0.7089552238805971,21.60873384364412,30,Hors vacances
2015-01-31,12037,1.080003323087148,10.79100328531716,31,Hors vacances
2015-02-01,13406,14.762046844696405,21.82875264270613,32,Hors vacances
2015-02-02,15975,17.52112676056338,28.883291351805205,33,Hors vacances
2015-02-03,15164,3.9501450804537064,22.52252252252252,34,Hors vacances
2015-02-04,15499,1.6904316407510163,22.916529632309413,35,Hors vacances
